title,genre,emotion
Beyond Late,POP,love
Beyond Late,POP,anger
Beyond Late,POP,joy
To climb,POP,joy
To climb,POP,love
Salem,POP,joy
Salem,POP,anger
Persephone,POP,joy
Persephone,POP,anger
Persephone,POP,fear
Persephone,POP,sadness
Persephone,POP,love
Sanctuary,POP,joy
Sanctuary,POP,anger
Sanctuary,POP,love
fifteen Minutes,POP,love
fifteen Minutes,POP,sadness
fifteen Minutes,POP,joy
Drink the night,POP,love
Drink the night,POP,sadness
Drink the night,POP,anger
Drink the night,POP,joy
The Alkonost,POP,love
The Alkonost,POP,joy
The Alkonost,ELECTRIC,joy
A warning to giants,POP,fear
A warning to giants,POP,sadness
A warning to giants,POP,joy
A warning to giants,POP,love
A warning to giants,POP,anger
A moment too soon,POP,love
A moment too soon,POP,joy
A moment too soon,POP,sadness
Fountain of life,POP,sadness
Fountain of life,POP,anger
Fountain of life,POP,love
Fountain of life,POP,joy
Invisible city,POP,sadness
Invisible city,POP,love
Film in Rhythm,POP,joy
Film in Rhythm,POP,fear
Film in Rhythm,POP,anger
You are the reson,POP,joy
You are the reson,POP,anger
You are the reson,POP,sadness
Ghostly feeling,POP,love
Ghostly feeling,POP,anger
Ghostly feeling,POP,joy
Fly Free,POP,love
Fly Free,POP,joy
Fly Free,POP,sadness
Fly Free,POP,anger
Fly Free,POP,fear
Calm(Ammonite),POP,love
Calm(Ammonite),POP,anger
Calm(Ammonite),POP,joy
Call me snake,POP,joy
Destiny trip,POP,love
Destiny trip,POP,joy
Something about eve,POP,joy
Something about eve,POP,anger
Something about eve,POP,fear
Something about eve,POP,sadness
Something about eve,POP,love
Mercurial Girl,POP,anger
Mercurial Girl,POP,joy
Mercurial Girl,POP,love
Mercurial Girl,POP,fear
Mercurial Girl,POP,sadness
Brilliant Day,POP,love
Brilliant Day,POP,joy
Till my cup Runs Over,POP,joy
Fire,POP,love
Fire,POP,joy
Fire,POP,anger
Fire,POP,fear
Fire,POP,sadness
Below -DU-remix,POP,anger
Below -DU-remix,POP,joy
Below -DU-remix,POP,love
Below -DU-remix,POP,sadness
Below -DU-remix,POP,fear
Tigers,POP,love
Tigers,POP,sadness
Tigers,POP,joy
Tigers,POP,anger
Tigers,POP,fear
Shining Star Games,POP,anger
Shining Star Games,POP,joy
Shining Star Games,POP,love
Shining Star Games,POP,fear
Shining Star Games,POP,sadness
Pais Oceano,POP,joy
Pais Oceano,POP,sadness
Pais Oceano,POP,love
Pais Oceano,POP,anger
Pais Oceano,POP,fear
Sooner or Later,POP,joy
Sooner or Later,POP,anger
Sooner or Later,POP,love
Sooner or Later,POP,sadness
Sooner or Later,POP,fear
Fountain Street,POP,fear
Fountain Street,POP,joy
Fountain Street,POP,anger
Fountain Street,POP,love
Fountain Street,POP,sadness
Bastard,POP,sadness
Bastard,POP,joy
Bastard,POP,anger
Bastard,POP,love
Bastard,POP,fear
30 Years,POP,love
30 Years,POP,joy
30 Years,POP,anger
30 Years,POP,fear
30 Years,POP,sadness
The lonely minstrl,POP,joy
The lonely minstrl,POP,sadness
The lonely minstrl,POP,anger
The lonely minstrl,POP,love
The lonely minstrl,POP,fear
Frontliner Blues,POP,joy
Frontliner Blues,POP,anger
Frontliner Blues,POP,love
Frontliner Blues,POP,fear
Frontliner Blues,POP,sadness
Modern Anguish,POP,joy
Modern Anguish,POP,love
Modern Anguish,POP,anger
Modern Anguish,POP,fear
Modern Anguish,POP,sadness
jade,POP,love
jade,POP,joy
jade,POP,anger
jade,POP,fear
jade,POP,sadness
The River,POP,love
The River,POP,joy
The River,POP,sadness
Laying Down Lounge,POP,anger
Laying Down Lounge,POP,love
Laying Down Lounge,POP,joy
Excerpt From Alice,POP,joy
Give me a perfect world,POP,sadness
Give me a perfect world,POP,joy
